Run,GT File,CER Strict,CER Standard,CER Loose,Accuracy Loose,Transcript,Timestamp
1,media_148280_1767762915627.txt,94.06%,94.02%,94.66%,5.34%,はい、ありがとうございます。アセットジャパンです。,2026-09-16 14:42:38
2,media_148393_1767860211615.txt,14.69%,14.44%,13.11%,86.89%,"お電話ありがとうございます。三水建設の須田と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になってます。お世話になります。すみません、川添さんともどうなられてますか。あ、ちょっと今外出しちゃってるんですけれども。はい、かしこまりました。ではまた改めてご連絡させていただきます。はい、かしこまりました。すみません、どうもありがとうございます。はい、失礼いたします。失礼いたします。
はい。",2026-09-16 14:44:28
3,media_148280_1767762915627.txt,27.32%,24.18%,25.24%,74.76%,"はい、ありがとうございます。アセットジャパンです。
お茶になっております。私バルテスの中岡と申します。はい、お茶当たります。お茶当たります。本日PMD部の石田様いらっしゃいますでしょうか。
お名前でした。えっと下のお名前はご存知ですか？はい、志保様。志保ですね。あ、えっと申し訳ありません。えっと在宅になりますので、うん。えっとこちらから掛け直させていただきますので、はい。お電話番号お伺いしてもよろしいでしょうか？あ、はい申し上げます。
ゼロ五ゼロゼロ五ゼロはい一七八二一七八二はい一八八ゼロ一八八ゼロですねはいドバステルの中岡様でよろしいですかはいすみませんあの会社名がバディブベボのバでバーで次がラリール次がタチツテでサシスのバルテスと言いますバルテスあはい失礼しました申し訳ございませんはいはい。
よろしくお願いいたします。はい、かけ直させてます。はい、遅れ入ります。失礼いたします。",2026-09-17 10:32:28
4,media_148284_1767766514646.txt,16.03%,11.28%,12.24%,87.76%,"ありがとうございます。保険代理店ベネフィットでございます。お世話になります。A.J.テクノロジーズの藤井と申します。はい、お世話になります。お世話になります。すみません、今なんですけれども、代表のおもだ様いらっしゃいますでしょうか。えっとちょっと出かけておりますね。あ、ありがとうございました。はい。今って携帯とかにかけても問題ないですかね。えっと、ちょっと分かんないですねその絵は。承知いたしました。
はいではまたあの改めてご連絡申し上げますはいすいませんよろしくどうぞお疲れですいませんお忙しいところありがとうございます失礼します。
はい。",2026-09-17 11:00:39
5,media_148284_1767766514646.txt,67.25%,67.70%,67.13%,32.87%,"えー。
おはようございます。三水建設の須田と申します。あ、いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になっております。お世話になります。すみません、加藤担当をどれになられてますか？あ、ちょっと今外出しちゃってるんですけども。かしこまりました。はい。また改めてご連絡させていただきます。はい、かしこまりました。すみません、どうもありがとうございます。はい、失礼いたします。失礼いたします。
はい。",2026-09-17 11:02:29
6,media_148280_1767762915627.txt,83.37%,83.97%,83.25%,16.75%,"はい。
⏳ Đang dịch: おはようございます。三水建設の須田と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になっております。お世話になります。すみません、加藤さんともどうなられてますか。あ、ちょっと今外出しちゃってるんですけども。かしこまりました。じゃあまた改めてご連絡させていただきます。かしこまりました。すみません、どうもありがとうございます。",2026-09-17 11:03:42
7,media_148393_1767860211615.txt,28.44%,27.27%,26.21%,73.79%,"はい。
⏳ Đang dịch: おはようございます。三水建設の須田と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になっております。お世話になります。すみません、加藤さんともどうなられてますか。あ、ちょっと今外出しちゃってるんですけども。かしこまりました。じゃあまた改めてご連絡させていただきます。かしこまりました。すみません、どうもありがとうございます。",2026-09-17 11:03:48
8,media_148393_1767860211615.txt,46.92%,47.06%,44.66%,55.34%,⏳ Đang dịch: お電話ありがとうございます。三水建設の須田と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になってます。お世話になります。すみません、川添さんともどうになられてますか。あ、ちょっと今外出しちゃってるんですけれども。頑張ります。はい。また改めてご連絡させて。,2026-09-17 11:04:30
9,media_148393_1767860211615.txt,46.92%,47.06%,44.66%,55.34%,⏳ Đang dịch: お電話ありがとうございます。三水建設の須田と申します。いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になってます。お世話になります。すみません、川添さんともどうになられてますか。あ、ちょっと今外出しちゃってるんですけれども。頑張ります。はい。また改めてご連絡させて。,2026-09-17 11:04:39
10,media_148280_1767762915627.txt,80.52%,80.71%,79.85%,20.15%,"えー。
おはようございます。三水建設の須田と申します。あ、いつもお世話になってます。AJテクノロジーズの山下です。はい、お世話になっております。お世話になります。すみません、川村さんともどうなられてますか？あ、ちょっと今外出しちゃうんですけども。かしこまりました。はい。改めてご連絡させていただきます。はい、かしこまりました。すみません、どうもありがとうございます。はい、失礼いたします。",2026-09-17 11:18:14
